"ORDEN
ALFABÉTICO";"ORDEN 
PRESUPUESTAL";DEPARTAMENTO;PROVINCIA;GOBIERNOS LOCALES; PIA ; PIM ;Puntaje de PIM; Certificación ; Compromiso Anual ; Atención de Compromiso Mensual  ; Devengado  ; Girado  ;Avance % ;Puntaje de Avance; Población ;Puntaje de Población;TOTAL;;;;;;;;;;;;
213;22;AREQUIPA;AREQUIPA;040110-300340: MUNICIPALIDAD DISTRITAL DE MIRAFLORES; S/2,337,918 ; S/2,322,580 ;5; S/2,302,007 ; S/2,296,281 ; S/2,164,793 ; S/2,154,233 ; S/2,154,233 ;92.8;5; S/63,632 ;4;14;;;;;;;;;;;;
79;23;ANCASH; HUARAZ;020105-300089: MUNICIPALIDAD DISTRITAL DE INDEPENDENCIA; S/-   ; S/2,174,504 ;5; S/2,162,354 ; S/1,998,502 ; S/1,993,515 ; S/1,993,515 ; S/1,993,515 ;91.7;5; S/87,112 ;4;14;;;;;;;;;;;;
836;24;LIMA;LIMA;150122-301271: MUNICIPALIDAD DISTRITAL DE MIRAFLORES; S/176,126 ; S/507,803 ;4; S/483,553 ; S/463,253 ; S/463,253 ; S/463,253 ; S/463,253 ;91.2;5; S/412,865 ;5;14;;;;;;;;;;;;
817;25;LIMA;LIMA;150101-301250: MUNICIPALIDAD METROPOLITANA DE LIMA; S/8,355,678 ; S/10,738,744 ;5; S/9,637,665 ; S/9,574,968 ; S/9,574,768 ; S/9,574,768 ; S/9,574,768 ;89.2;4; S/267,379 ;5;14;;;;;;;;;;;;
1169;26;TACNA;TACNA;230110-301838: MUNICIPALIDAD DISTRITAL DE CORONEL GREGORIO ALBARRACIN LANCHIPA; S/1,556,443 ; S/7,357,995 ;5; S/6,772,283 ; S/6,763,211 ; S/6,507,434 ; S/6,506,576 ; S/6,505,267 ;88.4;4; S/133,338 ;5;14;;;;;;;;;;;;
1151;27;SAN MARTIN;SAN MARTIN;220901-301759: MUNICIPALIDAD PROVINCIAL DE SAN MARTIN - TARAPOTO; S/223,701 ; S/1,694,087 ;5; S/1,582,878 ; S/1,531,477 ; S/1,531,448 ; S/1,475,732 ; S/1,475,252 ;87.1;4; S/218,074 ;5;14;;;;;;;;;;;;
131;28;ANCASH;SANTA;021809-300232: MUNICIPALIDAD DISTRITAL DE NUEVO CHIMBOTE; S/904,931 ; S/4,070,203 ;5; S/4,068,831 ; S/4,064,831 ; S/3,481,280 ; S/3,463,176 ; S/3,463,176 ;85.1;4; S/180,252 ;5;14;;;;;;;;;;;;
829;29;LIMA;LIMA;150115-301264: MUNICIPALIDAD DISTRITAL DE LA VICTORIA; S/-   ; S/4,483,851 ;5; S/4,442,292 ; S/4,415,866 ; S/3,681,346 ; S/3,680,455 ; S/3,680,455 ;82.1;4; S/188,619 ;5;14;;;;;;;;;;;;
975;30;PIURA;PIURA;200114-301537: MUNICIPALIDAD DISTRITAL DE TAMBO GRANDE; S/-   ; S/2,085,677 ;5; S/2,026,031 ; S/1,932,324 ; S/1,768,598 ; S/1,712,598 ; S/1,712,598 ;82.1;4; S/106,888 ;5;14;;;;;;;;;;;;
622;31;ICA;ICA;110101-300960: MUNICIPALIDAD PROVINCIAL DE ICA; S/570,828 ; S/1,854,878 ;5; S/1,588,516 ; S/1,545,153 ; S/1,486,145 ; S/1,486,145 ; S/1,486,145 ;80.1;4; S/445,752 ;5;14;;;;;;;;;;;;
1062;33;PUNO;CHUCUITO;210406-301638: MUNICIPALIDAD DISTRITAL DE POMATA; S/1,500 ; S/1,402,922 ;5; S/1,402,921 ; S/1,402,921 ; S/1,402,921 ; S/1,402,921 ; S/1,402,921 ;100;5; S/13,999 ;3;13;;;;;;;;;;;;
1128;34;SAN MARTIN;BELLAVISTA;220201-301707: MUNICIPALIDAD PROVINCIAL DE BELLAVISTA; S/-   ; S/512,132 ;4; S/512,131 ; S/512,131 ; S/512,131 ; S/512,131 ; S/512,131 ;100;5; S/60,893 ;4;13;;;;;;;;;;;;
820;35;LIMA;LIMA;150104-301253: MUNICIPALIDAD DISTRITAL DE BARRANCO; S/195,000 ; S/202,045 ;3; S/201,974 ; S/201,974 ; S/201,974 ; S/201,741 ; S/201,741 ;99.8;5; S/359,115 ;5;13;;;;;;;;;;;;
982;36;PIURA;HUANCABAMBA;200301-301548: MUNICIPALIDAD PROVINCIAL DE HUANCABAMBA; S/-   ; S/388,321 ;3; S/388,320 ; S/387,352 ; S/387,352 ; S/387,352 ; S/387,352 ;99.8;5; S/111,501 ;5;13;;;;;;;;;;;;
1066;37;PUNO;EL COLLAO;210503-301642: MUNICIPALIDAD DISTRITAL DE PILCUYO; S/22,000 ; S/1,172,140 ;5; S/1,169,775 ; S/1,169,775 ; S/1,169,775 ; S/1,169,775 ; S/1,169,415 ;99.8;5; S/10,812 ;3;13;;;;;;;;;;;;
1126;38;SAN MARTIN;MOYOBAMBA;220104-301704: MUNICIPALIDAD DISTRITAL DE JEPELACIO; S/-   ; S/1,921,252 ;5; S/1,920,924 ; S/1,917,142 ; S/1,917,142 ; S/1,917,142 ; S/1,917,142 ;99.8;5; S/15,972 ;3;13;;;;;;;;;;;;
1136;39;SAN MARTIN;LAMAS;220502-301725: MUNICIPALIDAD DISTRITAL DE ALONSO DE ALVARADO; S/-   ; S/1,521,632 ;5; S/1,518,871 ; S/1,518,726 ; S/1,518,726 ; S/1,518,726 ; S/1,518,726 ;99.8;5; S/14,486 ;3;13;;;;;;;;;;;;
833;40;LIMA;LIMA;150119-301268: MUNICIPALIDAD DISTRITAL DE LURIN; S/588,507 ; S/408,815 ;3; S/405,868 ; S/405,868 ; S/405,868 ; S/405,868 ; S/405,868 ;99.3;5; S/109,506 ;5;13;;;;;;;;;;;;
605;41;HUANUCO;PACHITEA;100802-300938: MUNICIPALIDAD DISTRITAL DE CHAGLLA; S/-   ; S/2,310,651 ;5; S/2,293,829 ; S/2,293,829 ; S/2,290,429 ; S/2,290,429 ; S/2,290,429 ;99.1;5; S/10,278 ;3;13;;;;;;;;;;;;
1104;42;PUNO;SAN ROMAN;211101-301681: MUNICIPALIDAD PROVINCIAL DE SAN ROMAN - JULIACA; S/20,000 ; S/326,789 ;3; S/326,783 ; S/322,466 ; S/322,466 ; S/322,466 ; S/322,466 ;98.7;5; S/344,030 ;5;13;;;;;;;;;;;;
1108;43;PUNO;SAN ROMAN;211105-301886: MUNICIPALIDAD DISTRITAL DE SAN MIGUEL; S/49,915 ; S/502,849 ;4; S/496,243 ; S/496,243 ; S/496,243 ; S/496,243 ; S/496,243 ;98.7;5; S/73,839 ;4;13;;;;;;;;;;;;
472;44;CUSCO ;LA CONVENCION;080906-300753: MUNICIPALIDAD DISTRITAL DE QUELLOUNO; S/28,500 ; S/2,863,162 ;5; S/2,859,376 ; S/2,819,376 ; S/2,819,376 ; S/2,819,376 ; S/2,819,376 ;98.5;5; S/15,150 ;3;13;;;;;;;;;;;;
825;45;LIMA;LIMA;150111-301260: MUNICIPALIDAD DISTRITAL DE EL AGUSTINO; S/113,000 ; S/179,676 ;3; S/179,639 ; S/178,805 ; S/177,915 ; S/177,009 ; S/177,009 ;98.5;5; S/221,974 ;5;13;;;;;;;;;;;;
459;46;CUSCO ;CHUMBIVILCAS;080705-300736: MUNICIPALIDAD DISTRITAL DE LIVITACA; S/-   ; S/1,794,382 ;5; S/1,790,027 ; S/1,789,969 ; S/1,789,969 ; S/1,760,455 ; S/1,760,455 ;98.1;5; S/12,798 ;3;13;;;;;;;;;;;;
211;47;AREQUIPA;AREQUIPA;040108-300338: MUNICIPALIDAD DISTRITAL DE LA JOYA; S/-   ; S/4,221,730 ;5; S/4,210,170 ; S/4,163,561 ; S/4,131,486 ; S/4,131,486 ; S/3,863,947 ;97.9;5; S/38,103 ;3;13;;;;;;;;;;;;
915;48;LORETO;MAYNAS;160113-301433: MUNICIPALIDAD DISTRITAL DE SAN JUAN BAUTISTA; S/144,000 ; S/472,152 ;3; S/461,434 ; S/461,434 ; S/461,434 ; S/461,434 ; S/461,434 ;97.7;5; S/160,427 ;5;13;;;;;;;;;;;;
4;49;AMAZONAS;BAGUA;010201-300022: MUNICIPALIDAD PROVINCIAL DE BAGUA; S/91,237 ; S/1,306,958 ;5; S/1,276,064 ; S/1,275,955 ; S/1,275,955 ; S/1,275,955 ; S/1,275,955 ;97.6;5; S/29,905 ;3;13;;;;;;;;;;;;
749;50;LA LIBERTAD;ASCOPE;130208-301147: MUNICIPALIDAD DISTRITAL DE CASA GRANDE; S/-   ; S/1,367,877 ;5; S/1,360,724 ; S/1,339,865 ; S/1,338,664 ; S/1,331,156 ; S/1,331,156 ;97.3;5; S/29,802 ;3;13;;;;;;;;;;;;
186;51;APURIMAC;COTABAMBA;030506-300308: MUNICIPALIDAD DISTRITAL DE CHALLHUAHUACHO; S/4,364 ; S/2,816,245 ;5; S/2,806,782 ; S/2,789,493 ; S/2,740,561 ; S/2,736,530 ; S/2,719,873 ;97.2;5; S/17,772 ;3;13;;;;;;;;;;;;
767;52;LA LIBERTAD;PATAZ;130803-301178: MUNICIPALIDAD DISTRITAL DE CHILLIA; S/-   ; S/1,645,559 ;5; S/1,645,557 ; S/1,597,392 ; S/1,597,392 ; S/1,597,392 ; S/1,597,392 ;97.1;5; S/13,046 ;3;13;;;;;;;;;;;;
505;53;CUSCO ;URUBAMBA;081302-300786: MUNICIPALIDAD DISTRITAL DE CHINCHERO; S/45,300 ; S/2,475,894 ;5; S/2,440,942 ; S/2,403,213 ; S/2,397,213 ; S/2,396,170 ; S/2,394,389 ;96.8;5; S/12,298 ;3;13;;;;;;;;;;;;
508;54;CUSCO ;URUBAMBA;081306-300790: MUNICIPALIDAD DISTRITAL DE OLLANTAYTAMBO; S/1,373,189 ; S/1,834,922 ;5; S/1,793,786 ; S/1,767,888 ; S/1,767,888 ; S/1,767,888 ; S/1,767,888 ;96.3;5; S/11,808 ;3;13;;;;;;;;;;;;
223;55;AREQUIPA;AREQUIPA;040123-300353: MUNICIPALIDAD DISTRITAL DE TIABAYA; S/1,000 ; S/2,630,886 ;5; S/2,538,271 ; S/2,506,863 ; S/2,506,863 ; S/2,506,863 ; S/2,506,863 ;95.3;5; S/17,023 ;3;13;;;;;;;;;;;;
202;56;APURIMAC;GRAU;030701-300317: MUNICIPALIDAD PROVINCIAL DE GRAU - CHUQUIBAMBILLA; S/-   ; S/3,737,749 ;5; S/3,548,234 ; S/3,485,234 ; S/3,485,234 ; S/3,485,234 ; S/3,485,234 ;93.2;5; S/21,759 ;3;13;;;;;;;;;;;;
920;57;LORETO;LORETO;160305-301449: MUNICIPALIDAD DISTRITAL DE URARINAS; S/-   ; S/2,111,132 ;5; S/1,979,892 ; S/1,949,678 ; S/1,949,678 ; S/1,949,678 ; S/1,949,678 ;92.4;5; S/15,139 ;3;13;;;;;;;;;;;;
596;58;HUANUCO;LEONCIO PRADO;100601-300927: MUNICIPALIDAD PROVINCIAL DE LEONCIO PRADO - RUPA RUPA; S/272,513 ; S/557,084 ;4; S/527,912 ; S/527,301 ; S/514,449 ; S/514,117 ; S/514,117 ;92.3;5; S/58,126 ;4;13;;;;;;;;;;;;
377;59;CAJAMARCA;JAEN;060804-300626: MUNICIPALIDAD DISTRITAL DE COLASAY; S/310,000 ; S/2,286,353 ;5; S/2,263,939 ; S/2,224,672 ; S/2,185,530 ; S/2,105,946 ; S/2,105,946 ;92.1;5; S/10,567 ;3;13;;;;;;;;;;;;
604;60;HUANUCO;PACHITEA;100801-300937: MUNICIPALIDAD PROVINCIAL DE PACHITEA - PANAO; S/-   ; S/3,530,865 ;5; S/3,530,863 ; S/3,239,672 ; S/3,239,672 ; S/3,232,720 ; S/3,229,720 ;91.6;5; S/18,126 ;3;13;;;;;;;;;;;;
868;61;LIMA;CAÑETE;150507-301317: MUNICIPALIDAD DISTRITAL DE IMPERIAL; S/-   ; S/1,246,450 ;5; S/1,246,449 ; S/1,138,815 ; S/1,138,815 ; S/1,136,315 ; S/1,136,315 ;91.2;5; S/38,559 ;3;13;;;;;;;;;;;;
455;62;CUSCO ;CHUMBIVILCAS;080701-300732: MUNICIPALIDAD PROVINCIAL DE CHUMBIVILCAS - SANTO TOMAS; S/700,000 ; S/1,978,633 ;5; S/1,932,432 ; S/1,878,595 ; S/1,790,777 ; S/1,790,777 ; S/1,790,777 ;90.5;5; S/22,809 ;3;13;;;;;;;;;;;;
854;63;LIMA;LIMA;150141-301290: MUNICIPALIDAD DISTRITAL DE SURQUILLO; S/491,449 ; S/952,962 ;4; S/845,525 ; S/845,525 ; S/845,525 ; S/845,330 ; S/844,793 ;88.7;4; S/100,339 ;5;13;;;;;;;;;;;;
850;64;LIMA;LIMA;150137-301286: MUNICIPALIDAD DISTRITAL DE SANTA ANITA; S/827,945 ; S/511,877 ;4; S/458,171 ; S/458,171 ; S/458,171 ; S/452,771 ; S/452,261 ;88.5;4; S/221,776 ;5;13;;;;;;;;;;;;
527;65;HUANCAVELICA;ANGARAES;090301-300817: MUNICIPALIDAD PROVINCIAL DE ANGARAES - LIRCAY; S/-   ; S/2,302,748 ;5; S/2,073,659 ; S/2,066,857 ; S/2,029,420 ; S/2,026,589 ; S/2,026,589 ;88;4; S/53,901 ;4;13;;;;;;;;;;;;
948;66;MOQUEGUA;ILO;180301-301498: MUNICIPALIDAD PROVINCIAL DE ILO; S/4,118,856 ; S/7,053,889 ;5; S/6,652,611 ; S/6,296,716 ; S/6,116,559 ; S/6,031,772 ; S/6,031,772 ;85.5;4; S/74,649 ;4;13;;;;;;;;;;;;
427;67;CUSCO ;ANTA;080301-300699: MUNICIPALIDAD PROVINCIAL DE ANTA; S/-   ; S/2,670,709 ;5; S/2,595,752 ; S/2,277,234 ; S/2,267,783 ; S/2,267,783 ; S/2,267,783 ;84.9;4; S/63,131 ;4;13;;;;;;;;;;;;
210;68;AREQUIPA;AREQUIPA;040129-300359: MUNICIPALIDAD DISTRITAL DE JOSE LUIS BUSTAMANTE Y RIVERO; S/71,736 ; S/1,359,141 ;5; S/1,334,089 ; S/1,275,543 ; S/1,133,661 ; S/1,128,915 ; S/1,128,915 ;83.1;4; S/82,642 ;4;13;;;;;;;;;;;;
713;69;JUNIN;SATIPO;120606-301095: MUNICIPALIDAD DISTRITAL DE PANGOA; S/-   ; S/8,389,532 ;5; S/8,254,432 ; S/8,171,095 ; S/6,892,533 ; S/6,891,933 ; S/6,891,933 ;82.1;4; S/65,356 ;4;13;;;;;;;;;;;;
205;70;AREQUIPA;AREQUIPA;040103-300333: MUNICIPALIDAD DISTRITAL DE CAYMA; S/1,146,192 ; S/8,334,738 ;5; S/8,317,705 ; S/6,052,035 ; S/6,048,960 ; S/6,048,960 ; S/6,048,960 ;72.6;3; S/103,140 ;5;13;;;;;;;;;;;;
215;71;AREQUIPA;AREQUIPA;040112-300342: MUNICIPALIDAD DISTRITAL DE PAUCARPATA; S/2,720,996 ; S/3,242,050 ;5; S/2,368,738 ; S/2,368,738 ; S/2,342,267 ; S/2,339,207 ; S/2,339,207 ;72.2;3; S/134,099 ;5;13;;;;;;;;;;;;
449;72;CUSCO ;CANCHIS;080601-300724: MUNICIPALIDAD PROVINCIAL DE CANCHIS - SICUANI; S/833,000 ; S/3,050,830 ;5; S/2,878,922 ; S/2,694,506 ; S/2,694,506 ; S/2,077,531 ; S/2,047,816 ;68.1;3; S/106,476 ;5;13;;;;;;;;;;;;
229;73;AREQUIPA;AREQUIPA;040101-300331: MUNICIPALIDAD PROVINCIAL DE AREQUIPA; S/158,357 ; S/8,509,968 ;5; S/8,251,515 ; S/7,009,275 ; S/5,732,278 ; S/5,732,259 ; S/5,732,259 ;67.4;3; S/1,175,765 ;5;13;;;;;;;;;;;;
1189;74;UCAYALI;CORONEL PORTILLO;250101-301816: MUNICIPALIDAD PROVINCIAL DE CORONEL PORTILLO; S/187,511 ; S/2,209,709 ;5; S/2,188,336 ; S/2,141,712 ; S/1,487,711 ; S/1,487,711 ; S/1,487,711 ;67.3;3; S/447,733 ;5;13;;;;;;;;;;;;
1178;75;TUMBES;TUMBES;240101-301804: MUNICIPALIDAD PROVINCIAL DE TUMBES; S/495,471 ; S/5,997,252 ;5; S/5,682,725 ; S/5,669,365 ; S/5,569,519 ; S/3,954,982 ; S/3,954,982 ;65.9;3; S/171,356 ;5;13;;;;;;;;;;;;
842;76;LIMA;LIMA;150128-301277: MUNICIPALIDAD DISTRITAL DE RIMAC; S/465,137 ; S/1,787,076 ;5; S/1,682,720 ; S/1,237,913 ; S/1,136,931 ; S/1,136,931 ; S/1,136,931 ;63.6;3; S/180,260 ;5;13;;;;;;;;;;;;
146;77;ANCASH;YUNGAY;022001-300243: MUNICIPALIDAD PROVINCIAL DE YUNGAY; S/-   ; S/135,363 ;3; S/135,362 ; S/135,362 ; S/135,362 ; S/135,362 ; S/135,362 ;100;5; S/55,769 ;4;12;;;;;;;;;;;;
414;78;CALLAO;PROV. CALLAO;070107-301853: MUNICIPALIDAD DISTRITAL DE MI PERU; S/94,998 ; S/163,840 ;3; S/163,839 ; S/163,839 ; S/163,839 ; S/163,839 ; S/163,839 ;100;5; S/52,348 ;4;12;;;;;;;;;;;;
418;79;CUSCO ;CUSCO;080105-300688: MUNICIPALIDAD DISTRITAL DE SAN SEBASTIAN; S/62,000 ; S/74,180 ;2; S/74,179 ; S/74,179 ; S/74,179 ; S/74,179 ; S/74,179 ;100;5; S/134,182 ;5;12;;;;;;;;;;;;
661;80;JUNIN;HUANCAYO;120107-301007: MUNICIPALIDAD DISTRITAL DE CHILCA; S/23,804 ; S/17,604 ;2; S/17,604 ; S/17,604 ; S/17,604 ; S/17,604 ; S/17,604 ;100;5; S/100,252 ;5;12;;;;;;;;;;;;
910;81;LORETO;MAYNAS;160101-301422: MUNICIPALIDAD PROVINCIAL DE MAYNAS - IQUITOS; S/-   ; S/6,808 ;2; S/6,807 ; S/6,807 ; S/6,807 ; S/6,807 ; S/6,807 ;100;5; S/560,767 ;5;12;;;;;;;;;;;;
1138;82;SAN MARTIN;LAMAS;220504-301727: MUNICIPALIDAD DISTRITAL DE CAYNARACHI; S/-   ; S/540,582 ;4; S/540,226 ; S/540,226 ; S/540,226 ; S/540,225 ; S/540,225 ;99.9;5; S/11,081 ;3;12;;;;;;;;;;;;
921;83;LORETO;RAMON CASTILLA;160401-301450: MUNICIPALIDAD PROVINCIAL DE MARISCAL RAMON CASTILLA; S/26,000 ; S/146,328 ;3; S/146,328 ; S/145,768 ; S/145,768 ; S/145,768 ; S/145,768 ;99.6;5; S/75,013 ;4;12;;;;;;;;;;;;
1110;84;PUNO;SAN ROMAN;211202-301686: MUNICIPALIDAD DISTRITAL DE CUYOCUYO; S/2,000 ; S/1,558,772 ;5; S/1,555,794 ; S/1,552,540 ; S/1,552,540 ; S/1,552,540 ; S/1,552,540 ;99.6;5; S/5,633 ;2;12;;;;;;;;;;;;
437;85;CUSCO ;CALCA;080404-300711: MUNICIPALIDAD DISTRITAL DE LARES; S/215,000 ; S/1,063,749 ;5; S/1,054,511 ; S/1,054,511 ; S/1,054,511 ; S/1,053,911 ; S/1,053,911 ;99.1;5; S/6,412 ;2;12;;;;;;;;;;;;
1147;86;SAN MARTIN;RIOJA;220801-301750: MUNICIPALIDAD PROVINCIAL DE RIOJA; S/30,281 ; S/26,672 ;2; S/26,670 ; S/26,413 ; S/26,413 ; S/26,413 ; S/26,413 ;99;5; S/131,651 ;5;12;;;;;;;;;;;;
934;87;MADRE DE DIOS;MANU;170201-301475: MUNICIPALIDAD PROVINCIAL DE MANU; S/565,081 ; S/665,432 ;4; S/655,222 ; S/655,222 ; S/655,222 ; S/655,222 ; S/655,222 ;98.5;5; S/17,310 ;3;12;;;;;;;;;;;;
1076;88;PUNO;HUANCANE;210608-301652: MUNICIPALIDAD DISTRITAL DE VILQUE CHICO; S/36,296 ; S/1,031,374 ;5; S/1,016,029 ; S/1,016,029 ; S/1,016,029 ; S/1,016,029 ; S/1,016,029 ;98.5;5; S/7,490 ;2;12;;;;;;;;;;;;
1088;89;PUNO;MELGAR;210802-301664: MUNICIPALIDAD DISTRITAL DE ANTAUTA; S/1,014,383 ; S/1,839,300 ;5; S/1,832,525 ; S/1,832,515 ; S/1,810,485 ; S/1,810,485 ; S/1,810,485 ;98.4;5; S/5,770 ;2;12;;;;;;;;;;;;
936;90;MADRE DE DIOS;TAHUAMANU;170302-301479: MUNICIPALIDAD DISTRITAL DE IBERIA; S/-   ; S/2,263,509 ;5; S/2,233,052 ; S/2,231,613 ; S/2,226,145 ; S/2,225,498 ; S/2,225,498 ;98.3;5; S/5,791 ;2;12;;;;;;;;;;;;
